customer_id,customer_name,segment,region,industry,employee_size,acquisition_channel,subscription_type,customer_status,acquisition_date
C0001,Customer_1,Mid-Market,North,Retail,2303,Online,Monthly,Active,2024-02-17
C0002,Customer_2,Enterprise,North,Manufacturing,3506,Online,Monthly,Active,2021-03-23
C0003,Customer_3,Enterprise,North,Manufacturing,1678,Direct Sales,Yearly,Inactive,2021-03-27
C0004,Customer_4,SMB,East,Retail,1357,Direct Sales,Quarterly,Inactive,2021-07-23
C0005,Customer_5,Enterprise,South,Healthcare,887,Online,Quarterly,Active,2022-01-05
C0006,Customer_6,SMB,East,Retail,3813,Direct Sales,Monthly,Inactive,2020-06-10
C0007,Customer_7,Mid-Market,East,Manufacturing,3012,Direct Sales,Monthly,Active,2020-04-03
C0008,Customer_8,Mid-Market,South,Healthcare,703,Online,Monthly,Inactive,2021-07-23
C0009,Customer_9,SMB,East,Finance,3082,Partner,Monthly,Inactive,2023-12-08
C0010,Customer_10,Mid-Market,North,Manufacturing,1451,Direct Sales,Yearly,Active,2020-11-30
C0011,Customer_11,SMB,West,Healthcare,4612,Online,Yearly,Inactive,2024-09-22
C0012,Customer_12,Enterprise,South,Retail,2634,Partner,Quarterly,Active,2021-03-08
C0013,Customer_13,Mid-Market,East,Finance,4139,Partner,Yearly,Inactive,2020-10-19
C0014,Customer_14,SMB,South,Finance,4648,Direct Sales,Quarterly,Inactive,2025-01-12
C0015,Customer_15,Mid-Market,West,Healthcare,1846,Online,Yearly,Inactive,2020-07-05
C0016,Customer_16,Enterprise,North,Finance,1360,Direct Sales,Quarterly,Active,2022-02-27
C0017,Customer_17,SMB,West,Manufacturing,2109,Direct Sales,Monthly,Active,2023-10-28
C0018,Customer_18,Mid-Market,East,Healthcare,963,Partner,Quarterly,Active,2022-07-18
C0019,Customer_19,Enterprise,East,Manufacturing,1513,Direct Sales,Monthly,Inactive,2024-09-19
C0020,Customer_20,Mid-Market,South,Finance,3113,Online,Yearly,Active,2023-05-11
C0021,Customer_21,SMB,West,Retail,966,Partner,Quarterly,Active,2020-04-28
C0022,Customer_22,Enterprise,North,Retail,4031,Online,Yearly,Active,2020-09-19
C0023,Customer_23,Mid-Market,West,Manufacturing,1402,Partner,Yearly,Inactive,2025-05-29
C0024,Customer_24,Enterprise,South,Healthcare,3318,Direct Sales,Yearly,Inactive,2022-06-16
C0025,Customer_25,Mid-Market,West,Retail,2080,Online,Monthly,Inactive,2020-02-13
C0026,Customer_26,Mid-Market,South,Manufacturing,1854,Online,Monthly,Active,2021-04-13
C0027,Customer_27,Enterprise,North,Healthcare,630,Direct Sales,Monthly,Inactive,2023-10-02
C0028,Customer_28,SMB,South,Manufacturing,1133,Direct Sales,Yearly,Inactive,2021-05-12
C0029,Customer_29,SMB,West,Finance,822,Online,Yearly,Inactive,2021-12-26
C0030,Customer_30,SMB,West,Tech,493,Direct Sales,Yearly,Active,2020-05-04
C0031,Customer_31,SMB,East,Retail,2086,Online,Monthly,Inactive,2020-10-14
C0032,Customer_32,SMB,South,Healthcare,3839,Online,Monthly,Inactive,2024-07-12
C0033,Customer_33,Mid-Market,North,Retail,4478,Online,Monthly,Active,2020-12-06
C0034,Customer_34,SMB,West,Tech,1801,Partner,Monthly,Active,2022-02-15
C0035,Customer_35,Enterprise,West,Healthcare,3777,Partner,Quarterly,Inactive,2020-11-13
C0036,Customer_36,Enterprise,East,Finance,529,Direct Sales,Yearly,Active,2024-03-11
C0037,Customer_37,SMB,North,Retail,4835,Partner,Yearly,Active,2020-04-26
C0038,Customer_38,Mid-Market,North,Finance,611,Direct Sales,Monthly,Active,2022-04-06
C0039,Customer_39,Enterprise,South,Manufacturing,4920,Online,Yearly,Active,2022-05-08
C0040,Customer_40,Mid-Market,East,Healthcare,1723,Direct Sales,Yearly,Inactive,2021-05-03
C0041,Customer_41,SMB,West,Finance,2507,Partner,Quarterly,Active,2020-01-20
C0042,Customer_42,SMB,North,Retail,4454,Online,Yearly,Inactive,2020-09-28
C0043,Customer_43,SMB,North,Finance,3077,Partner,Monthly,Inactive,2024-09-03
C0044,Customer_44,Mid-Market,East,Manufacturing,4383,Online,Yearly,Inactive,2025-03-23
C0045,Customer_45,Mid-Market,North,Finance,2216,Online,Monthly,Active,2021-07-11
C0046,Customer_46,SMB,South,Healthcare,1717,Direct Sales,Yearly,Inactive,2022-11-01
C0047,Customer_47,SMB,East,Retail,806,Direct Sales,Quarterly,Inactive,2020-03-31
C0048,Customer_48,Enterprise,East,Finance,2195,Online,Yearly,Inactive,2023-02-03
C0049,Customer_49,Mid-Market,West,Manufacturing,129,Online,Monthly,Active,2023-01-22
C0050,Customer_50,Enterprise,East,Manufacturing,4576,Online,Quarterly,Active,2020-03-26
C0051,Customer_51,SMB,East,Retail,2981,Online,Yearly,Active,2023-09-27
