market_customer_id,is_our_customer,segment,region,industry,company_size,country,potential_value_score
C0001,Yes,SMB,North,Finance,Small,UAE,80
C0002,Yes,Mid-Market,West,Manufacturing,Small,India,38
C0003,Yes,Mid-Market,West,Manufacturing,Large,India,87
C0004,Yes,SMB,East,Finance,Medium,UK,75
C0005,Yes,Mid-Market,West,Tech,Large,India,38
C0006,Yes,Mid-Market,East,Manufacturing,Large,USA,4
C0007,Yes,Mid-Market,West,Manufacturing,Medium,UK,17
C0008,Yes,Mid-Market,South,Retail,Medium,UAE,43
C0009,Yes,SMB,North,Retail,Medium,UK,21
C0010,Yes,Mid-Market,West,Tech,Large,India,63
C0011,Yes,Enterprise,North,Manufacturing,Small,UK,14
C0012,Yes,Mid-Market,West,Finance,Small,UAE,9
C0013,Yes,SMB,North,Tech,Large,Germany,87
C0014,Yes,Mid-Market,North,Healthcare,Small,India,44
C0015,Yes,SMB,West,Healthcare,Medium,UK,5
C0016,Yes,Mid-Market,South,Finance,Large,UAE,10
C0017,Yes,SMB,North,Healthcare,Medium,USA,31
C0018,Yes,SMB,West,Tech,Small,UAE,60
C0019,Yes,Mid-Market,East,Healthcare,Small,India,46
C0020,Yes,Mid-Market,East,Retail,Large,Germany,87
C0021,Yes,Enterprise,East,Tech,Large,India,27
C0022,Yes,Mid-Market,East,Finance,Small,UAE,86
C0023,Yes,SMB,East,Finance,Medium,UAE,5
C0024,Yes,Enterprise,South,Manufacturing,Small,USA,3
C0025,Yes,Enterprise,West,Tech,Large,Germany,54
C0026,Yes,Mid-Market,East,Retail,Large,USA,68
C0027,Yes,Mid-Market,South,Tech,Small,India,64
C0028,Yes,Mid-Market,East,Manufacturing,Medium,India,81
C0029,Yes,Enterprise,South,Healthcare,Large,UAE,97
C0030,Yes,SMB,East,Healthcare,Medium,UAE,73
C0031,Yes,Mid-Market,East,Healthcare,Medium,USA,64
C0032,Yes,Mid-Market,West,Tech,Medium,UK,34
C0033,Yes,SMB,East,Healthcare,Large,India,44
C0034,Yes,SMB,East,Tech,Medium,UAE,63
C0035,Yes,Enterprise,North,Finance,Small,India,69
C0036,Yes,Mid-Market,North,Retail,Large,UK,32
C0037,Yes,Mid-Market,West,Retail,Medium,UK,86
C0038,Yes,SMB,West,Healthcare,Medium,UK,24
C0039,Yes,Mid-Market,West,Healthcare,Large,India,43
C0040,Yes,Mid-Market,North,Healthcare,Large,UK,19
C0041,Yes,Enterprise,East,Healthcare,Large,USA,75
C0042,Yes,Mid-Market,South,Tech,Large,UK,63
C0043,Yes,SMB,West,Finance,Medium,UAE,74
C0044,Yes,Mid-Market,North,Healthcare,Medium,USA,1
C0045,Yes,Enterprise,West,Manufacturing,Small,USA,62
C0046,Yes,Enterprise,West,Finance,Small,Germany,4
C0047,Yes,Enterprise,East,Tech,Small,UAE,78
C0048,Yes,Enterprise,South,Healthcare,Medium,Germany,90
C0049,Yes,SMB,South,Healthcare,Large,UAE,55
C0050,Yes,Mid-Market,West,Healthcare,Medium,India,48
C0051,Yes,Enterprise,North,Healthcare,Large,India,37
C0052,Yes,Enterprise,East,Finance,Small,India,83
C0053,Yes,Mid-Market,North,Finance,Small,UK,63
C0054,Yes,SMB,West,Healthcare,Small,USA,93
C0055,Yes,Mid-Market,North,Retail,Large,UK,73
C0056,Yes,SMB,West,Manufacturing,Large,UAE,100
C0057,Yes,Enterprise,West,Tech,Small,India,11
C0058,Yes,Enterprise,West,Healthcare,Small,USA,71
C0059,Yes,Enterprise,South,Retail,Small,UK,63
C0060,Yes,Enterprise,North,Healthcare,Small,Germany,80
C0061,Yes,SMB,East,Finance,Small,UAE,6
C0062,Yes,Mid-Market,North,Manufacturing,Small,India,90
C0063,Yes,SMB,North,Retail,Large,USA,75
C0064,Yes,Mid-Market,North,Manufacturing,Medium,UAE,35
C0065,Yes,SMB,North,Finance,Large,Germany,12
C0066,Yes,SMB,East,Tech,Small,UAE,56
C0067,Yes,Mid-Market,West,Finance,Small,Germany,93
C0068,Yes,SMB,South,Tech,Large,UK,64
C0069,Yes,SMB,East,Retail,Medium,India,31
C0070,Yes,SMB,West,Finance,Large,USA,36
C0071,Yes,SMB,South,Manufacturing,Medium,UK,77
C0072,Yes,Enterprise,East,Healthcare,Small,India,98
C0073,Yes,SMB,North,Finance,Small,UK,33
C0074,Yes,SMB,West,Tech,Medium,Germany,42
C0075,Yes,SMB,South,Healthcare,Small,USA,57
C0076,Yes,Enterprise,East,Retail,Small,Germany,12
C0077,Yes,Mid-Market,South,Tech,Large,India,76
C0078,Yes,Mid-Market,East,Tech,Large,UK,35
C0079,Yes,Mid-Market,South,Tech,Large,Germany,86
C0080,Yes,Mid-Market,East,Tech,Large,USA,17
C0081,Yes,Mid-Market,East,Manufacturing,Large,India,74
C0082,Yes,SMB,North,Manufacturing,Large,India,15
C0083,Yes,Enterprise,North,Finance,Large,USA,95
C0084,Yes,Enterprise,South,Finance,Medium,USA,82
C0085,Yes,Mid-Market,East,Finance,Medium,USA,58
C0086,Yes,SMB,South,Healthcare,Large,UAE,50
C0087,Yes,Enterprise,West,Healthcare,Small,India,87
C0088,Yes,Mid-Market,East,Tech,Medium,USA,24
C0089,Yes,Enterprise,East,Finance,Medium,UAE,96
C0090,Yes,Enterprise,East,Healthcare,Large,USA,10
C0091,Yes,Enterprise,West,Finance,Small,India,45
C0092,Yes,SMB,West,Retail,Large,Germany,79
C0093,Yes,Enterprise,North,Finance,Small,Germany,47
C0094,Yes,Mid-Market,South,Healthcare,Small,UK,34
C0095,Yes,SMB,West,Healthcare,Large,UK,18
C0096,Yes,Mid-Market,North,Manufacturing,Small,Germany,31
C0097,Yes,Mid-Market,North,Manufacturing,Medium,USA,15
C0098,Yes,Enterprise,North,Tech,Large,USA,61
C0099,Yes,Enterprise,North,Manufacturing,Small,India,85
C0100,Yes,SMB,South,Manufacturing,Medium,India,88
C0101,Yes,Enterprise,West,Retail,Small,UAE,40
C0102,Yes,Mid-Market,North,Tech,Large,Germany,5
C0103,Yes,Mid-Market,West,Finance,Medium,UAE,89
C0104,Yes,Mid-Market,East,Manufacturing,Small,UK,92
C0105,Yes,Enterprise,East,Tech,Small,India,68
C0106,Yes,Mid-Market,South,Finance,Large,UK,100
C0107,Yes,Enterprise,North,Tech,Small,UAE,23
C0108,Yes,Enterprise,West,Manufacturing,Small,Germany,60
C0109,Yes,SMB,East,Finance,Large,UAE,84
C0110,Yes,Mid-Market,North,Retail,Medium,India,75
C0111,Yes,Mid-Market,East,Finance,Large,UAE,63
C0112,Yes,SMB,West,Healthcare,Medium,UK,88
C0113,Yes,SMB,West,Tech,Large,UK,73
C0114,Yes,Mid-Market,West,Finance,Medium,UAE,53
C0115,Yes,SMB,South,Tech,Large,UAE,3
C0116,Yes,SMB,South,Tech,Large,UK,21
C0117,Yes,Enterprise,West,Finance,Large,UK,100
C0118,Yes,Enterprise,North,Healthcare,Small,USA,25
C0119,Yes,Enterprise,East,Healthcare,Large,India,100
C0120,Yes,Mid-Market,West,Healthcare,Large,USA,52
C0121,Yes,SMB,West,Healthcare,Small,UAE,71
C0122,Yes,Enterprise,East,Retail,Large,UAE,54
C0123,Yes,SMB,West,Healthcare,Large,USA,60
C0124,Yes,SMB,West,Retail,Small,India,25
C0125,Yes,Mid-Market,East,Healthcare,Medium,India,97
C0126,Yes,Enterprise,East,Manufacturing,Medium,UK,99
C0127,Yes,Mid-Market,South,Tech,Large,USA,23
C0128,Yes,SMB,North,Tech,Large,UK,52
C0129,Yes,Enterprise,South,Tech,Small,India,93
C0130,Yes,Enterprise,South,Healthcare,Large,India,68
C0131,Yes,Mid-Market,North,Healthcare,Large,India,37
C0132,Yes,Enterprise,East,Retail,Medium,USA,87
C0133,Yes,Enterprise,West,Finance,Small,UK,34
C0134,Yes,SMB,East,Manufacturing,Small,Germany,53
C0135,Yes,Mid-Market,South,Retail,Small,UAE,78
C0136,Yes,SMB,West,Retail,Medium,India,15
C0137,Yes,Mid-Market,East,Healthcare,Small,Germany,35
C0138,Yes,Mid-Market,North,Finance,Large,UAE,77
C0139,Yes,Enterprise,North,Retail,Medium,Germany,30
C0140,Yes,Mid-Market,North,Manufacturing,Medium,Germany,83
C0141,Yes,Mid-Market,East,Tech,Medium,UAE,98
C0142,Yes,SMB,North,Manufacturing,Large,USA,97
C0143,Yes,Enterprise,East,Manufacturing,Large,UK,16
C0144,Yes,SMB,East,Finance,Large,India,72
C0145,Yes,Mid-Market,West,Retail,Medium,UAE,42
C0146,Yes,SMB,East,Healthcare,Medium,UK,59
C0147,Yes,Enterprise,East,Manufacturing,Small,USA,37
C0148,Yes,Mid-Market,South,Manufacturing,Small,Germany,96
C0149,Yes,Mid-Market,East,Manufacturing,Medium,Germany,82
C0150,Yes,Enterprise,West,Manufacturing,Large,UK,67
C0151,Yes,Mid-Market,South,Tech,Small,Germany,12
C0152,Yes,Mid-Market,West,Finance,Large,India,66
C0153,Yes,Enterprise,North,Retail,Small,USA,63
C0154,Yes,SMB,East,Finance,Small,UAE,66
C0155,Yes,Mid-Market,South,Healthcare,Large,UK,80
C0156,Yes,SMB,North,Tech,Small,Germany,89
C0157,Yes,SMB,East,Retail,Small,USA,26
C0158,Yes,Mid-Market,West,Manufacturing,Large,UAE,7
C0159,Yes,Enterprise,West,Healthcare,Large,UK,71
C0160,Yes,Enterprise,West,Finance,Large,USA,98
C0161,Yes,SMB,North,Healthcare,Large,USA,36
C0162,Yes,SMB,West,Healthcare,Medium,UK,28
C0163,Yes,Mid-Market,North,Retail,Medium,UK,6
C0164,Yes,Mid-Market,East,Retail,Small,Germany,81
C0165,Yes,Mid-Market,West,Retail,Small,UAE,75
C0166,Yes,Mid-Market,South,Manufacturing,Small,Germany,15
C0167,Yes,Mid-Market,North,Retail,Large,UAE,48
C0168,Yes,Mid-Market,North,Healthcare,Small,India,72
C0169,Yes,Enterprise,North,Healthcare,Small,India,39
C0170,Yes,Enterprise,West,Retail,Small,Germany,15
C0171,Yes,SMB,East,Manufacturing,Small,India,37
C0172,Yes,Mid-Market,North,Tech,Medium,USA,62
C0173,Yes,Mid-Market,South,Manufacturing,Large,UAE,88
C0174,Yes,Enterprise,South,Retail,Medium,Germany,33
C0175,Yes,SMB,West,Healthcare,Small,UAE,93
C0176,Yes,SMB,South,Tech,Medium,India,61
C0177,Yes,Mid-Market,North,Healthcare,Medium,UAE,99
C0178,Yes,Enterprise,South,Healthcare,Small,UAE,70
C0179,Yes,Mid-Market,South,Healthcare,Small,Germany,4
C0180,Yes,Mid-Market,East,Finance,Medium,Germany,69
C0181,Yes,SMB,North,Healthcare,Large,UK,93
C0182,Yes,Mid-Market,West,Finance,Medium,USA,59
C0183,Yes,Mid-Market,West,Tech,Small,UK,50
C0184,Yes,Mid-Market,West,Healthcare,Medium,Germany,25
C0185,Yes,Mid-Market,North,Tech,Medium,USA,7
C0186,Yes,Mid-Market,North,Tech,Small,USA,34
C0187,Yes,SMB,North,Healthcare,Large,USA,29
C0188,Yes,SMB,East,Tech,Large,India,75
C0189,Yes,SMB,East,Healthcare,Large,Germany,100
C0190,Yes,SMB,West,Tech,Large,India,77
C0191,Yes,SMB,North,Tech,Medium,India,68
C0192,Yes,Enterprise,West,Healthcare,Small,UAE,12
C0193,Yes,Mid-Market,West,Retail,Small,USA,30
C0194,Yes,SMB,North,Healthcare,Large,UK,15
C0195,Yes,Enterprise,South,Healthcare,Large,USA,62
C0196,Yes,Enterprise,South,Healthcare,Medium,UK,38
C0197,Yes,Enterprise,North,Finance,Medium,India,12
C0198,Yes,SMB,East,Manufacturing,Small,India,25
C0199,Yes,Enterprise,West,Retail,Medium,Germany,98
C0200,Yes,Mid-Market,North,Retail,Medium,UK,25
C0201,Yes,SMB,East,Finance,Medium,India,10
C0202,Yes,SMB,North,Manufacturing,Large,UK,8
C0203,Yes,Enterprise,East,Tech,Large,Germany,11
C0204,Yes,Mid-Market,South,Finance,Small,Germany,77
C0205,Yes,Mid-Market,North,Manufacturing,Medium,USA,27
C0206,Yes,Mid-Market,North,Retail,Small,India,56
C0207,Yes,Mid-Market,East,Finance,Small,UK,14
C0208,Yes,Mid-Market,West,Manufacturing,Medium,Germany,16
C0209,Yes,Enterprise,East,Retail,Small,USA,91
C0210,Yes,Enterprise,West,Tech,Medium,USA,63
C0211,Yes,Enterprise,South,Tech,Large,India,12
C0212,Yes,Mid-Market,East,Healthcare,Small,UAE,67
C0213,Yes,SMB,South,Retail,Small,Germany,29
C0214,Yes,Mid-Market,East,Retail,Medium,USA,89
C0215,Yes,Enterprise,West,Tech,Large,Germany,33
C0216,Yes,Mid-Market,South,Healthcare,Large,UAE,42
C0217,Yes,Mid-Market,East,Manufacturing,Medium,Germany,5
C0218,Yes,SMB,East,Healthcare,Small,UAE,9
C0219,Yes,SMB,East,Manufacturing,Small,USA,6
C0220,Yes,SMB,West,Healthcare,Large,UAE,4
C0221,Yes,SMB,East,Tech,Small,India,96
C0222,Yes,Mid-Market,West,Healthcare,Medium,USA,91
C0223,Yes,Mid-Market,North,Manufacturing,Small,Germany,61
C0224,Yes,SMB,North,Healthcare,Large,UK,58
C0225,Yes,SMB,North,Finance,Small,USA,89
C0226,Yes,SMB,West,Healthcare,Medium,UK,94
C0227,Yes,SMB,North,Finance,Large,UK,21
C0228,Yes,Enterprise,North,Healthcare,Small,Germany,8
C0229,Yes,Mid-Market,West,Healthcare,Large,India,87
C0230,Yes,Mid-Market,East,Finance,Medium,UK,10
C0231,Yes,SMB,South,Finance,Large,UK,63
C0232,Yes,SMB,North,Tech,Medium,UAE,100
C0233,Yes,Enterprise,North,Healthcare,Small,India,63
C0234,Yes,Mid-Market,West,Healthcare,Large,UAE,19
C0235,Yes,SMB,North,Tech,Small,India,99
C0236,Yes,Mid-Market,North,Retail,Large,UAE,69
C0237,Yes,SMB,West,Retail,Medium,India,44
C0238,Yes,Enterprise,West,Manufacturing,Medium,USA,67
C0239,Yes,Enterprise,North,Healthcare,Medium,UK,25
C0240,Yes,Mid-Market,South,Healthcare,Medium,UK,6
C0241,Yes,SMB,North,Retail,Medium,UK,65
C0242,Yes,SMB,North,Manufacturing,Medium,UK,82
C0243,Yes,SMB,East,Tech,Medium,Germany,69
C0244,Yes,SMB,West,Healthcare,Large,India,96
C0245,Yes,Enterprise,West,Healthcare,Small,UAE,75
C0246,Yes,Mid-Market,East,Finance,Large,India,4
C0247,Yes,Enterprise,West,Tech,Medium,Germany,20
C0248,Yes,SMB,West,Retail,Large,USA,26
C0249,Yes,SMB,West,Finance,Medium,Germany,31
C0250,Yes,Mid-Market,East,Finance,Medium,UAE,79
C0251,Yes,Enterprise,South,Finance,Small,India,71
C0252,Yes,SMB,East,Finance,Medium,UAE,71
C0253,Yes,SMB,East,Finance,Large,Germany,80
C0254,Yes,SMB,West,Healthcare,Large,UK,38
C0255,Yes,SMB,East,Manufacturing,Large,Germany,11
C0256,Yes,Enterprise,East,Tech,Large,UK,85
C0257,Yes,Mid-Market,North,Finance,Small,USA,24
C0258,Yes,Enterprise,North,Healthcare,Medium,Germany,24
C0259,Yes,Enterprise,South,Tech,Small,UK,99
C0260,Yes,SMB,North,Healthcare,Small,India,1
C0261,Yes,Mid-Market,North,Manufacturing,Small,India,74
C0262,Yes,Mid-Market,North,Tech,Medium,UAE,14
C0263,Yes,Enterprise,North,Healthcare,Large,Germany,49
C0264,Yes,Enterprise,East,Retail,Medium,UK,66
C0265,Yes,SMB,West,Manufacturing,Medium,India,17
C0266,Yes,Enterprise,West,Finance,Medium,UAE,6
C0267,Yes,Mid-Market,West,Tech,Small,UK,43
C0268,Yes,SMB,North,Manufacturing,Medium,UAE,77
C0269,Yes,SMB,West,Tech,Medium,India,51
C0270,Yes,Mid-Market,South,Healthcare,Medium,Germany,62
C0271,Yes,Mid-Market,South,Healthcare,Medium,USA,14
C0272,Yes,Mid-Market,East,Manufacturing,Medium,UAE,34
C0273,Yes,SMB,West,Manufacturing,Large,Germany,77
C0274,Yes,SMB,South,Retail,Small,UK,2
C0275,Yes,Enterprise,North,Healthcare,Small,USA,58
C0276,Yes,SMB,North,Tech,Large,UAE,99
C0277,Yes,SMB,North,Healthcare,Small,India,49
