billing_id,customer_id,bill_date,revenue_amount
B000001,C0001,2025-12-22,9446
B000002,C0001,2025-07-24,1330
B000003,C0001,2024-03-25,10751
B000004,C0001,2025-05-20,3791
B000005,C0002,2024-10-17,14973
B000006,C0002,2025-09-06,10223
B000007,C0002,2025-12-04,14547
B000008,C0002,2024-08-19,18150
B000009,C0002,2025-02-21,9522
B000010,C0003,2024-07-12,2280
B000011,C0003,2025-05-02,12040
B000012,C0003,2024-07-02,418
B000013,C0003,2025-11-21,16110
B000014,C0003,2025-11-19,3446
B000015,C0004,2025-03-24,17126
B000016,C0004,2025-11-05,2785
B000017,C0004,2024-05-02,4697
B000018,C0004,2025-02-08,13127
B000019,C0004,2025-12-12,19351
B000020,C0005,2024-06-21,2120
B000021,C0005,2025-01-07,6523
B000022,C0006,2024-07-24,19495
B000023,C0006,2025-02-17,4022
B000024,C0006,2024-08-26,13916
B000025,C0006,2025-05-26,9126
B000026,C0007,2025-08-30,8944
B000027,C0007,2025-10-21,13114
B000028,C0007,2024-12-30,15591
B000029,C0007,2025-11-13,19764
B000030,C0007,2025-02-18,15877
B000031,C0007,2025-06-07,9138
B000032,C0008,2025-04-10,3540
B000033,C0008,2024-05-05,8214
B000034,C0008,2025-05-16,16294
B000035,C0009,2025-10-05,4410
B000036,C0009,2024-01-31,3263
B000037,C0009,2024-02-24,2235
B000038,C0010,2025-11-25,876
B000039,C0010,2024-07-02,12538
B000040,C0010,2025-09-11,10713
B000041,C0010,2024-06-05,9920
B000042,C0010,2025-09-28,3156
B000043,C0011,2025-11-07,17037
B000044,C0011,2025-05-19,15270
B000045,C0012,2024-10-27,16315
B000046,C0012,2025-05-17,16541
B000047,C0012,2024-09-24,17774
B000048,C0013,2025-07-07,17911
B000049,C0013,2024-01-19,1035
B000050,C0013,2025-03-16,3903
B000051,C0013,2025-01-27,14749
B000052,C0014,2025-01-20,14501
B000053,C0014,2025-04-15,1179
B000054,C0014,2024-02-03,5795
B000055,C0014,2025-07-24,9930
B000056,C0015,2025-05-18,14112
B000057,C0015,2024-05-17,10238
B000058,C0015,2025-02-02,15972
B000059,C0016,2025-08-05,16074
B000060,C0016,2025-11-06,18146
B000061,C0017,2025-08-08,15395
B000062,C0017,2025-05-02,18423
B000063,C0017,2024-06-09,16603
B000064,C0017,2024-02-27,12824
B000065,C0017,2024-09-26,16210
B000066,C0017,2025-08-28,12379
B000067,C0018,2025-11-23,11559
B000068,C0018,2024-10-18,10501
B000069,C0018,2024-03-03,922
B000070,C0018,2025-08-27,1478
B000071,C0018,2024-05-11,12006
B000072,C0018,2024-12-23,19135
B000073,C0019,2025-10-02,11182
B000074,C0019,2025-01-24,3189
B000075,C0020,2024-12-19,11710
B000076,C0020,2025-02-25,11510
B000077,C0020,2024-02-27,8002
B000078,C0020,2024-09-10,7688
B000079,C0020,2025-10-25,10226
B000080,C0021,2024-03-27,2146
B000081,C0021,2024-11-08,3750
B000082,C0021,2024-12-11,5563
B000083,C0021,2024-01-21,17642
B000084,C0021,2024-11-29,1224
B000085,C0021,2025-04-16,13843
B000086,C0022,2025-06-11,13800
B000087,C0022,2024-09-30,668
B000088,C0022,2025-12-13,15391
B000089,C0022,2025-08-25,728
B000090,C0022,2024-11-20,12377
B000091,C0022,2025-08-07,12789
B000092,C0023,2025-08-09,3202
B000093,C0023,2025-05-15,3278
B000094,C0023,2025-12-08,6747
B000095,C0023,2024-12-10,16276
B000096,C0024,2025-11-14,11126
B000097,C0024,2024-06-19,9814
B000098,C0024,2025-01-07,14286
B000099,C0024,2024-07-25,16284
B000100,C0024,2025-10-12,2468
B000101,C0024,2025-07-02,7014
B000102,C0025,2024-09-28,1557
B000103,C0025,2024-10-31,18793
B000104,C0025,2025-02-15,7401
B000105,C0025,2025-10-01,3013
B000106,C0026,2024-04-07,19394
B000107,C0026,2024-12-10,8957
B000108,C0026,2024-03-09,18560
B000109,C0026,2025-06-27,15573
B000110,C0026,2025-03-13,6872
B000111,C0026,2024-12-21,2512
B000112,C0027,2025-05-31,9827
B000113,C0027,2025-03-19,17693
B000114,C0027,2024-11-16,6556
B000115,C0027,2025-02-28,13182
B000116,C0028,2025-10-01,16887
B000117,C0028,2025-04-09,17942
B000118,C0028,2024-07-03,609
B000119,C0028,2025-10-04,16915
B000120,C0029,2025-08-13,16357
B000121,C0029,2024-08-06,15312
B000122,C0029,2024-10-01,17456
B000123,C0030,2025-03-20,18550
B000124,C0030,2025-10-03,1962
B000125,C0030,2025-06-18,6574
B000126,C0030,2025-01-08,15154
B000127,C0030,2024-05-31,7876
B000128,C0030,2024-06-03,9839
B000129,C0031,2025-02-24,10441
B000130,C0031,2024-03-06,6670
B000131,C0031,2025-02-26,8746
B000132,C0031,2024-10-20,5262
B000133,C0031,2024-09-19,19701
